max_delay,max_freq,logic_area,mem_area,name,weights,activations,component
12953.759999999993,74.98072995240227,7992.3888,0.0,pe_combinational,fp8,fp8,pe
5110.31,182.03960817794734,8431.4736,0.0,pe_fast,fp8,fp8,pe
7848.580000000001,121.48336042412268,8452.3824,0.0,pe_standard,fp8,fp8,pe
3226.71,277.0305647822124,12114.9072,0.0,pe_pipelined,fp8,fp8,pe
8835.420000000002,108.4784594323105,5596.5887999999995,0.0,pe_combinational_lmul,fp8,fp8,pe
7848.580000000001,121.48336042412268,6056.582399999999,0.0,pe_standard_lmul,fp8,fp8,pe
2112.04,400.79517763242274,12093.9984,0.0,pe_fast_pipelined,fp8,fp8,pe
4310.380000000001,213.06606326357544,6445.1376,0.0,pe_fast_lmul,fp8,fp8,pe
3226.71,277.0305647822124,10304.553600000001,0.0,pe_pipelined_lmul,fp8,fp8,pe
2112.04,400.79517763242274,10396.900800000001,0.0,pe_fast_pipelined_lmul,fp8,fp8,pe
22280.86999999997,44.123091069618795,19880.784,0.0,pe_combinational,fp8,bf16,pe
12914.88,75.19995668482495,20800.7712,0.0,pe_standard,fp8,bf16,pe
5052.610000000001,183.97199210392208,26867.808,0.0,pe_pipelined,fp8,bf16,pe
8137.1100000000015,117.36937668645122,21593.5632,0.0,pe_fast,fp8,bf16,pe
15727.619999999988,62.07085760821128,11848.320000000002,0.0,pe_combinational_lmul,fp8,bf16,pe
3090.4000000000005,287.9023435250763,27521.208,0.0,pe_fast_pipelined,fp8,bf16,pe
12914.88,75.19995668482495,12768.307200000001,0.0,pe_standard_lmul,fp8,bf16,pe
6827.280000000002,138.69086914793874,14310.3312,0.0,pe_fast_lmul,fp8,bf16,pe
5052.610000000001,183.97199210392208,20250.1728,0.0,pe_pipelined_lmul,fp8,bf16,pe
3090.4000000000005,287.9023435250763,21286.9008,0.0,pe_fast_pipelined_lmul,fp8,bf16,pe
42336.22999999998,23.4086616261576,71535.97439999999,0.0,pe_combinational,fp8,fp32,pe
22999.749999999967,42.766569372721406,73375.9488,0.0,pe_standard,fp8,fp32,pe
12549.709999999995,77.32331429375594,77170.89600000001,0.0,pe_fast,fp8,fp32,pe
13719.47999999998,70.90951378764596,102982.80960000001,0.0,pe_pipelined,fp8,fp32,pe
28036.61999999995,35.18695886855636,27357.4224,0.0,pe_combinational_lmul,fp8,fp32,pe
20278.279999999977,48.399711924914676,29197.396800000002,0.0,pe_standard_lmul,fp8,fp32,pe
5140.169999999999,181.0554446088026,106655.7888,0.0,pe_fast_pipelined,fp8,fp32,pe
8719.18,109.86379087207679,33680.592000000004,0.0,pe_fast_lmul,fp8,fp32,pe
4476.04,205.8019691132405,46455.868800000004,0.0,pe_fast_pipelined_lmul,fp8,fp32,pe
10734.710000000005,89.94658072570697,42896.145599999996,0.0,pe_pipelined_lmul,fp8,fp32,pe
21625.02999999997,45.43796059892691,20515.017600000003,0.0,pe_combinational,bf16,bf16,pe
12914.88,75.19995668482495,21435.004800000002,0.0,pe_standard,bf16,bf16,pe
7442.310000000002,127.79046453111758,22227.7968,0.0,pe_fast,bf16,bf16,pe
5052.610000000001,183.97199210392208,27153.5616,0.0,pe_pipelined,bf16,bf16,pe
3090.4000000000005,287.9023435250763,27806.9616,0.0,pe_fast_pipelined,bf16,bf16,pe
15138.11999999999,64.42834022287056,12064.3776,0.0,pe_combinational_lmul,bf16,bf16,pe
12914.88,75.19995668482495,12984.3648,0.0,pe_standard_lmul,bf16,bf16,pe
6827.280000000002,138.69086914793874,14526.3888,0.0,pe_fast_lmul,bf16,bf16,pe
5052.610000000001,183.97199210392208,20466.2304,0.0,pe_pipelined_lmul,bf16,bf16,pe
3090.4000000000005,287.9023435250763,21502.9584,0.0,pe_fast_pipelined_lmul,bf16,bf16,pe
11854.91,81.71329908456592,95556.7008,0.0,pe_fast,fp32,fp32,pe
22410.249999999967,43.87263773266214,91761.7536,0.0,pe_standard,fp32,fp32,pe
13719.47999999998,70.90951378764596,104188.5504,0.0,pe_pipelined,fp32,fp32,pe
27447.11999999995,35.93229206341912,28493.4672,0.0,pe_combinational_lmul,fp32,fp32,pe
20278.279999999977,48.399711924914676,30333.441600000002,0.0,pe_standard_lmul,fp32,fp32,pe
5140.169999999999,181.0554446088026,107861.52960000001,0.0,pe_fast_pipelined,fp32,fp32,pe
8719.18,109.86379087207679,34816.6368,0.0,pe_fast_lmul,fp32,fp32,pe
10734.710000000005,89.94658072570697,44032.1904,0.0,pe_pipelined_lmul,fp32,fp32,pe
4476.04,205.8019691132405,47591.9136,0.0,pe_fast_pipelined_lmul,fp32,fp32,pe
41746.72999999997,23.736207186706412,89921.77919999999,0.0,pe_combinational,fp32,fp32,pe
